V1,V2,class
0.865936,0.143763,1
0.129804,0.08893,1
0.061801,0.5520470000000001,1
0.099116,0.8481719999999999,1
0.205704,0.624722,1
0.164029,0.038168,1
0.619834,0.079611,1
0.011323999999999999,0.718472,1
0.344461,0.27117800000000003,1
0.6791689999999999,0.191223,1
0.191592,0.381792,1
0.9401520000000001,0.981297,1
0.543696,0.210495,1
0.074785,0.407648,1
0.667057,0.44140799999999997,1
0.860208,0.671408,1
0.177475,0.93111,1
0.107628,0.309156,1
0.6954640000000001,0.9927860000000001,1
0.622046,0.063885,1
0.658742,0.874708,1
0.029141000000000004,0.711535,1
0.721738,0.631548,1
0.516696,0.147568,1
0.164996,0.369274,1
0.171748,0.085911,1
0.261766,0.40784899999999996,1
0.25969200000000003,0.051687000000000004,1
0.6047560000000001,0.250681,1
0.487839,0.959527,1
0.982901,0.375734,1
0.023492,0.460829,1
0.5162100000000001,0.7704770000000001,1
0.795362,0.4162,1
0.406115,0.821262,1
0.397217,0.303417,1
0.839467,0.637518,1
0.733925,0.106592,1
0.296192,0.14206400000000002,1
0.402594,0.248824,1
0.753804,0.291111,1
0.6853130000000001,0.428476,1
0.056389,0.600984,1
0.9450219999999999,0.7983180000000001,1
0.021327000000000002,0.753316,1
0.162331,0.787131,1
0.693945,0.42645900000000003,1
0.32866599999999996,0.004957,1
0.5284449999999999,0.658067,1
0.419871,0.096041,1
0.172873,0.982296,1
0.714479,0.10762100000000001,1
0.966566,0.304773,1
0.292117,0.9280430000000001,1
0.22041,0.979503,1
0.6500670000000001,0.614319,1
0.8434200000000001,0.834044,1
0.509794,0.977075,1
0.9035639999999999,0.952833,1
0.050289999999999994,0.619925,1
0.266416,0.873207,1
0.001359,0.7407020000000001,1
0.542135,0.474685,1
0.257529,0.39352,1
0.189437,0.24926900000000002,1
0.932052,0.583553,1
0.774634,0.8290360000000001,1
0.060493,0.520469,1
0.064483,0.616976,1
0.484703,0.5918359999999999,1
0.8435030000000001,0.118048,1
0.800502,0.134413,1
0.08956900000000001,0.099628,1
0.636206,0.8790870000000001,1
0.41603900000000005,0.024005000000000002,1
0.944133,0.024318,1
0.494277,0.290311,1
0.433568,0.253312,1
0.5074270000000001,0.6992470000000001,1
0.7511439999999999,0.6517390000000001,1
0.554373,0.21119200000000002,1
0.523438,0.405663,1
0.322299,0.5067520000000001,1
0.916583,0.36345900000000003,1
0.2769,0.078548,1
0.9390129999999999,0.030831,1
0.081204,0.58401,1
0.31597600000000003,0.33466399999999996,1
0.9471450000000001,0.9711620000000001,1
0.398248,0.539284,1
0.148425,0.45287299999999997,1
0.232525,0.027793,1
0.9788879999999999,0.7497729999999999,1
0.617252,0.27152600000000005,1
0.027517000000000003,0.148005,1
0.695188,0.202238,1
0.759347,0.8252079999999999,1
0.392796,0.37452399999999997,1
0.041000999999999996,0.586616,1
0.8065859999999999,0.7600399999999999,1
0.43021099999999995,0.622869,1
0.457829,0.750464,1
0.7606,0.152116,1
0.189605,0.962741,1
0.796183,0.841225,1
0.36390900000000004,0.737987,1
0.5044310000000001,0.71436,1
0.93163,0.8045479999999999,1
0.8024279999999999,0.8519680000000001,1
0.8944540000000001,0.436064,1
0.46756000000000003,0.559127,1
0.655304,0.576958,1
0.272333,0.8394879999999999,1
0.762734,0.83067,1
0.30233000000000004,0.9495,1
0.594708,0.910014,1
0.8469979999999999,0.527317,1
0.598484,0.134408,1
0.21485100000000001,0.29180100000000003,1
0.805895,0.8253370000000001,1
0.317842,0.589217,1
0.47706400000000004,0.999236,1
0.894085,0.128733,1
0.890658,0.586098,1
0.793752,0.092539,1
0.495071,0.512468,1
0.8399059999999999,0.432383,1
0.862451,0.379073,1
0.394167,0.5715439999999999,1
0.146298,0.136187,1
0.90656,0.919759,1
0.033371,0.11395799999999999,1
0.409511,0.578309,1
0.5019600000000001,0.00023799999999999998,1
0.127923,0.363493,1
0.051098000000000005,0.875084,1
0.120378,0.808896,1
0.44908000000000003,0.208952,1
0.140964,0.12038399999999999,1
0.464708,0.810685,1
0.7168720000000001,0.152434,1
0.49095,0.071765,1
0.773816,0.350434,1
0.44826000000000005,0.49490200000000006,1
0.009518,0.260768,1
0.863575,0.41787299999999994,1
0.614875,0.6490239999999999,1
0.5610689999999999,0.047639,1
0.8731399999999999,0.486336,1
0.9719979999999999,0.405097,1
0.629311,0.06490399999999999,1
0.67356,0.547466,1
0.615118,0.285921,1
0.400416,0.48310200000000003,1
0.13941800000000001,0.726627,1
0.43762700000000004,0.522699,1
0.709427,0.43794700000000003,1
0.9999959999999999,0.42113,1
0.735201,0.5501159999999999,1
0.9303799999999999,0.555824,1
0.5878680000000001,0.670968,1
0.808296,0.560404,1
0.931599,0.749989,1
0.350213,0.286419,1
0.42989499999999997,0.551004,1
0.804191,0.70136,1
0.6387649999999999,0.12732100000000002,1
0.894073,0.347736,1
0.14244300000000001,0.7253850000000001,1
0.752224,0.285862,1
0.761798,0.356485,1
0.194858,0.022085,1
0.971166,0.870757,1
0.640269,0.784551,1
0.496335,0.743738,1
0.9478340000000001,0.650193,1
0.434489,0.94291,1
0.464434,0.449496,1
0.136416,0.1802,1
0.604991,0.07968099999999999,1
0.521882,0.576075,1
0.365091,0.8422950000000001,1
0.461021,0.261892,1
0.266228,0.687828,1
0.34776,0.7293609999999999,1
0.36795100000000003,0.7977810000000001,1
0.015681,0.799474,1
